BS, S:23,
0.14, 5.86
37.22, 6.71
37.29, 8.50
36.46, 10.05
36.29, 9.92
35.58, 10.20
35.24, 10.13
34.24, 10.34
34.28, 10.28
33.37, 10.32
34.51, 10.66
32.46, 10.78
32.04, 11.03
31.91, 10.96
30.52, 11.25
30.78, 11.28
30.16, 11.53
29.78, 11.63
29.33, 11.79
28.87, 11.92
27.80, 11.91
27.78, 12.20
27.55, 12.23
26.88, 12.34
26.57, 12.43
25.53, 12.70
25.31, 12.67
24.66, 12.82
24.34, 12.92
23.66, 12.96
23.09, 13.14
21.90, 13.20
22.17, 13.40
21.82, 13.41
20.76, 13.49
20.99, 13.60
20.12, 13.65
19.68, 13.81
19.12, 13.83
18.75, 13.94
18.52, 14.01
17.46, 14.08
17.29, 14.13
16.54, 14.23
15.86, 14.28
15.48, 14.43
14.97, 14.44
14.53, 14.47
13.78, 14.57
13.75, 14.64
13.29, 14.66
12.55, 14.68
12.20, 14.82
11.62, 14.84
10.92, 14.82
10.46, 14.91
10.19, 14.92
9.64, 15.00
9.08, 15.01
8.77, 15.04
7.99, 15.04
7.34, 15.08
6.99, 15.14
6.56, 15.16
6.04, 15.17
5.51, 15.12
5.06, 15.13
4.52, 15.21
3.82, 15.16
-15.53, 15.09
-41.69, 13.90
-47.60, 11.05
-50.00, 9.22
-49.92, 8.64
-50.23, 8.28
-50.06, 8.16
-49.40, 8.00
-49.20, 7.91
-46.57, 7.80
-45.15, 7.68
-44.02, 7.56
-43.09, 7.45
-42.79, 7.43
-41.38, 7.31
-38.60, 7.15
-38.18, 7.14
-36.90, 7.01
-36.22, 6.99
-34.91, 6.96
-32.77, 6.82
-31.72, 6.79
-30.84, 6.77
-30.12, 6.68
-28.56, 6.63
-26.91, 6.66
-26.41, 6.57
-25.26, 6.43
-23.78, 6.43
-22.67, 6.41
-22.17, 6.32
-20.68, 6.20
-20.13, 6.27
-18.28, 6.26
-17.31, 6.14
-17.28, 6.05
-15.97, 6.03
-15.69, 6.02
-14.02, 6.00
-13.19, 5.92
-12.69, 5.88
-11.68, 5.94
-11.44, 5.87
-10.27, 5.78
-9.45, 5.76
-8.65, 5.76
-8.08, 5.76
-6.86, 5.71
-6.30, 5.70
-5.72, 5.70
-5.05, 5.68
-4.63, 5.67
-3.96, 5.67
-3.57, 5.67
-3.21, 5.59
-2.40, 5.64
-1.57, 5.73
-1.17, 5.67
-0.69, 5.67
-0.18, 5.67
0.10, 5.73
0.27, 5.67
0.37, 5.69
0.28, 5.68
0.33, 5.70
0.41, 5.73
0.34, 5.67
0.40, 5.79
0.35, 5.70
0.36, 5.73
0.36, 5.67
0.36, 5.73
0.42, 5.76
0.35, 5.71
0.37, 5.70
0.39, 5.73
0.38, 5.74
0.33, 5.77
0.31, 5.77
0.30, 5.78
0.35, 5.76
0.34, 5.76
0.30, 5.76
0.35, 5.76
0.30, 5.76
0.33, 5.77
0.28, 5.77
0.26, 5.76
0.28, 5.76
0.34, 5.76
0.32, 5.76
0.25, 5.78
0.25, 5.76
0.26, 5.76
0.27, 5.76
0.31, 5.81
0.23, 5.84
0.23, 5.77
0.27, 5.81
0.26, 5.81
0.23, 5.84
0.23, 5.84
0.22, 5.79
0.22, 5.76
